City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
159,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
160,Namibe,AO,64.13,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
161,Haskovo,BG,68.34,light rain,41.9403,25.5694,Hotel Central
162,Khasan,RU,65.28,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
164,Zaysan,KZ,64.53,scattered clouds,47.4667,84.8667,Ерлан үй
165,Hualmay,PE,66.85,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
166,Zhigansk,RU,55.33,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
167,Tornio,FI,64.42,overcast clouds,65.8481,24.1466,Park Hotel Tornio
169,Inhambane,MZ,69.93,clear sky,-23.865,35.3833,Oceano
171,Chulym,RU,65.7,scattered clouds,55.0997,80.9572,"""U Tat'yany"""
173,Yaan,NG,74.61,broken clouds,7.3833,8.5667,
179,Nhulunbuy,AU,68.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
180,Carnarvon,AU,61.3,clear sky,-24.8667,113.6333,Hospitality Carnarvon
182,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Kununurra,AU,55.38,clear sky,-15.7667,128.7333,Hotel Kununurra
190,Poronaysk,RU,57.25,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
194,Asau,RO,61.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
195,Severnyy,RU,69.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
198,Cidreira,BR,66.2,overcast clouds,-30.1811,-50.2056,Hotel Castelo
199,Kaoma,ZM,59.59,clear sky,-14.7833,24.8,KAOMA AIRPORT
200,Chernyshevskiy,RU,53.31,few clouds,63.0128,112.4714,Chernyseyskiy
203,Senanga,ZM,62.71,clear sky,-16.1167,23.2667,Zango lodge
204,Ntcheu,MW,60.78,broken clouds,-14.8203,34.6359,Dear Executive Lodge
206,Richmond,US,73.38,overcast clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
207,Evensk,RU,59.02,clear sky,61.95,159.2333,
209,Port-Cartier,CA,64.62,overcast clouds,50.0334,-66.8654,Le Q'Artier
214,Turochak,RU,56.53,clear sky,52.2576,87.1224,"Usad'ba ""Lebed'"""
215,Bratsk,RU,55.89,overcast clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
216,Fukuroi,JP,74.39,clear sky,34.75,137.9167,Kuretake Inn Premium Fukuroi Ekimae
222,Kollegal,IN,70.03,overcast clouds,12.15,77.1167,MK Restaurant
223,Hofn,IS,50.52,overcast clouds,64.2539,-15.2082,Hótel Höfn
226,Sukhobezvodnoye,RU,66.47,light rain,57.0491,44.8891,
227,Bulembu,SZ,59.99,clear sky,-25.9667,31.1333,Bulembu Lodge
229,Nikolskoye,RU,63.79,scattered clouds,59.7035,30.7861,Tourist House - Sablino
233,Pangnirtung,CA,50.0,few clouds,66.1451,-65.7125,Kilabuk Lodge
236,Bondo,CD,70.93,overcast clouds,3.8146,23.6866,
239,Kushiro,JP,60.21,overcast clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
248,Aykhal,RU,60.12,overcast clouds,66.0,111.5,
252,Fairbanks,US,64.36,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
253,Erzin,TR,73.65,scattered clouds,36.9559,36.2,Artemis Otel
254,Richards Bay,ZA,65.62,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
256,Sept-Iles,CA,64.92,broken clouds,50.2001,-66.3821,Comfort Inn
262,Vologda,RU,60.1,moderate rain,59.2187,39.8886,Vologda Gostinitsa Sputnik
263,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
264,Cardston,CA,70.09,scattered clouds,49.2,-113.3019,Flamingo Motel
267,Lumphat,KH,73.4,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
271,Huarmey,PE,68.43,scattered clouds,-10.0681,-78.1522,Hotel Miramar
275,Talnakh,RU,51.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
276,Port Hedland,AU,51.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
277,Dudinka,RU,51.62,few clouds,69.4058,86.1778,Hotel Viktoria
278,Aklavik,CA,55.4,overcast clouds,68.2191,-135.0107,Aklavik Inn
282,Hervey Bay,AU,55.2,clear sky,-25.2986,152.8535,Shelly Bay Resort
283,Ngunguru,NZ,60.51,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
284,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
285,Lukiv,UA,59.18,overcast clouds,51.0521,25.4006,
286,Gambiran,ID,73.31,few clouds,-6.7988,111.4951,GUBUK KU
287,Gisborne,NZ,51.67,heavy intensity rain,-38.6533,178.0042,ASURE Alfresco Motor Lodge
288,Krasnoselkup,RU,58.41,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
289,Sungaipenuh,ID,63.72,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
294,Vardo,NO,51.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
298,Alihe,CN,54.73,few clouds,50.5667,123.7167,Alihe Forestry Hotel
301,Husavik,IS,55.56,overcast clouds,66.0449,-17.3389,Bjarnabúð
302,Necochea,AR,53.33,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
303,Morondava,MG,69.35,clear sky,-20.2833,44.2833,La Case Bambou
305,Stromness,GB,58.96,scattered clouds,58.965,-3.296,The Old Smokery
306,Petropavlovsk-Kamchatskiy,RU,66.79,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
308,Severo-Kurilsk,RU,60.17,overcast clouds,50.6789,156.125,Kak Doma
309,Yerbogachen,RU,55.0,few clouds,61.2767,108.0108,
311,Port Hardy,CA,60.98,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
313,Embonas,GR,74.84,clear sky,36.2269,27.8564,Hotel Ataviros
319,Liwale,TZ,64.96,broken clouds,-9.7667,37.9333,Nakivubo Executive Lodge
320,Airai,TL,55.24,broken clouds,-8.9266,125.4092,
322,East London,ZA,61.32,moderate rain,-33.0153,27.9116,Tu Casa
323,Hay River,CA,69.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
324,Kargopol,RU,62.02,moderate rain,61.5071,38.9456,Moroshka Inn
330,Baykit,RU,50.23,clear sky,61.67,96.37,
331,Tiksi,RU,55.4,clear sky,71.6872,128.8694,Arktika
334,Katsuura,JP,74.32,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
337,Nizhniy Tsasuchey,RU,54.75,clear sky,50.5167,115.1333,
338,Tilichiki,RU,55.36,scattered clouds,60.4667,166.1,
344,Nome,US,66.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
345,Zhigalovo,RU,58.32,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
353,Ballina,AU,53.02,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
355,Hare Bay,CA,65.8,broken clouds,48.8499,-54.0148,
357,Talcahuano,CL,55.08,scattered clouds,-36.7167,-73.1167,departamento comodo
358,Karakol,KG,57.67,clear sky,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
360,Port Macquarie,AU,53.49,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
361,Borogontsy,RU,65.35,overcast clouds,62.6683,131.1683,
363,Mattru,SL,73.47,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
364,Jinchang,CN,66.51,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
371,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
373,Naryan-Mar,RU,52.32,overcast clouds,67.6713,53.087,Hostel Agat
376,Flinders,AU,53.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
377,Sarkand,KZ,66.79,clear sky,45.41,79.9186,Гостиница Сарканд
380,Pimentel,PE,68.29,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
384,Mehamn,NO,55.35,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
386,Pochinki,RU,62.4,broken clouds,54.6988,44.8668,Дом для заморских гостей
388,Krasnoshchekovo,RU,61.39,clear sky,51.6708,82.7289,Viro гостиница
390,Verkhnevilyuysk,RU,54.81,overcast clouds,63.4453,120.3167,Gostinitsa Mila
391,Zhaotong,CN,62.87,clear sky,27.3167,103.7167,Jingguan Home
392,Demba,CD,73.13,clear sky,-5.51,22.2667,Guest House Du Cinquantenaire
399,Nemuro,JP,58.57,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
400,Ekibastuz,KZ,66.07,broken clouds,51.6667,75.3667,
408,Alyangula,AU,66.54,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
410,Teguldet,RU,64.44,clear sky,57.3064,88.1667,
411,Kaitong,CN,72.72,overcast clouds,44.8135,123.15,Jinhe Fashion Hotel
412,Palana,RU,57.79,broken clouds,59.1167,159.9667,Chikago
416,Yatou,CN,72.75,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
419,Diez,DE,65.68,overcast clouds,50.3667,8.0167,Vienna House Easy Limburg
423,Slubice,PL,64.29,broken clouds,52.3509,14.5607,City Residence Hotel Frankfurt Oder
424,Hovd,MN,58.21,light rain,48.0056,91.6419,Hotel Khovd
429,Mayya,RU,61.92,light rain,61.7333,130.2811,
