City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Trairi,BR,-3.2778,-39.2689,81.91,69,6,11.72,clear sky
80,Fortuna,US,40.5982,-124.1573,70.93,76,75,3.0,broken clouds
81,Harper,LR,4.375,-7.7169,75.83,76,26,8.1,scattered clouds
82,Gijon,ES,43.5357,-5.6615,79.45,84,0,10.0,clear sky
83,Chokurdakh,RU,70.6333,147.9167,60.26,52,100,10.76,overcast clouds
84,Yellowknife,CA,62.456,-114.3525,69.35,59,100,3.78,light rain
85,Xam Nua,LA,20.4197,104.0439,67.44,99,71,1.14,broken clouds
86,Jamestown,US,42.097,-79.2353,82.06,31,0,4.0,clear sky
87,Kaitangata,NZ,-46.2817,169.8464,37.98,86,62,5.23,broken clouds
88,Kachug,RU,53.9606,105.8817,54.25,87,100,2.73,overcast clouds
89,Ondjiva,AO,-17.0667,15.7333,62.29,33,0,7.25,clear sky
90,Tuy Hoa,VN,13.0833,109.3,77.5,83,100,7.16,overcast clouds
91,Vilcun,CL,-38.65,-72.2333,48.94,66,7,5.32,light rain
92,Lavrentiya,RU,65.5833,-171.0,48.33,85,100,5.21,overcast clouds
93,Barra Velha,BR,-26.6322,-48.6847,73.29,81,100,5.57,overcast clouds
94,Tefe,BR,-3.3542,-64.7114,89.71,70,40,6.91,scattered clouds
95,Clyde River,CA,70.4692,-68.5914,50.23,66,100,11.5,overcast clouds
96,Merauke,ID,-8.4667,140.3333,76.28,89,100,12.21,overcast clouds
97,Faanui,PF,-16.4833,-151.75,78.58,71,95,20.2,overcast clouds
98,Lebu,CL,-37.6167,-73.65,50.85,76,4,8.25,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,58.08,70,100,10.0,overcast clouds
100,Luganville,VU,-15.5333,167.1667,77.22,88,18,6.85,few clouds
101,Shenzhen,CN,22.5455,114.0683,85.21,88,21,3.47,few clouds
102,Guerrero Negro,MX,27.9769,-114.0611,77.32,59,15,15.55,few clouds
103,Port Alfred,ZA,-33.5906,26.891,60.62,77,100,8.66,light rain
104,Shimoda,JP,34.6667,138.95,73.11,88,3,3.83,clear sky
105,Boende,CD,-0.2167,20.8667,79.99,58,70,2.37,broken clouds
106,Crestview,US,30.7621,-86.5705,91.9,62,75,6.91,broken clouds
107,Lompoc,US,34.6391,-120.4579,77.14,80,100,17.0,mist
108,Narsaq,GL,60.9167,-46.05,59.22,72,10,7.38,clear sky
109,Mahon,ES,39.8885,4.2658,77.56,69,0,3.44,clear sky
110,Norman Wells,CA,65.282,-126.8329,73.44,46,75,6.91,smoke
111,Upernavik,GL,72.7868,-56.1549,38.66,85,54,3.58,broken clouds
112,Bredasdorp,ZA,-34.5322,20.0403,50.9,86,65,5.97,broken clouds
113,Ponta Do Sol,PT,32.6667,-17.1,80.71,74,4,3.89,clear sky
114,Barrow,US,71.2906,-156.7887,60.82,63,0,3.44,clear sky
115,Bengkulu,ID,-3.8004,102.2655,74.48,89,99,3.76,overcast clouds
116,Constitucion,CL,-35.3333,-72.4167,53.69,68,11,1.81,few clouds
117,Gazanjyk,TM,39.2446,55.5154,84.29,18,0,9.93,clear sky
118,Noumea,NC,-22.2763,166.4572,75.99,99,43,4.72,light rain
119,Ishigaki,JP,24.3448,124.1572,80.73,94,22,5.75,few clouds
120,Tasiilaq,GL,65.6145,-37.6368,50.16,78,45,2.84,scattered clouds
121,Codrington,AU,-38.2667,141.9667,48.25,68,100,16.31,overcast clouds
122,Ribeira Grande,PT,38.5167,-28.7,70.2,64,40,8.05,scattered clouds
123,Temerloh,MY,3.4483,102.4176,75.07,98,95,0.76,overcast clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,4.61,mist
125,Port Elizabeth,ZA,-33.918,25.5701,54.1,93,0,8.05,clear sky
